date,values,variable,senario,metric
2036-08-18,34.209736,TSA,cntl,vhds
2036-08-19,35.033188,TSA,cntl,vhds
2036-08-20,34.705547,TSA,cntl,vhds
2036-08-21,35.08136,TSA,cntl,vhds
2036-08-22,35.184547,TSA,cntl,vhds
2036-08-23,34.203403,TSA,cntl,vhds
2036-08-24,35.865105,TSA,cntl,vhds
2036-08-26,33.366283,TSA,cntl,vhds
2036-08-27,33.586166,TSA,cntl,vhds
2036-08-28,33.924442,TSA,cntl,vhds
2036-08-29,34.118397,TSA,cntl,vhds
2036-08-30,33.769924,TSA,cntl,vhds
2036-08-31,33.34623,TSA,cntl,vhds
2036-09-01,34.22828,TSA,cntl,vhds
2036-09-02,34.576653,TSA,cntl,vhds
2036-09-03,34.69335,TSA,cntl,vhds
2036-09-04,34.29809,TSA,cntl,vhds
2036-09-05,33.820576,TSA,cntl,vhds
2036-09-06,33.229053,TSA,cntl,vhds
2036-09-07,34.031635,TSA,cntl,vhds
2036-09-08,34.20716,TSA,cntl,vhds
2036-09-09,33.218437,TSA,cntl,vhds
2036-09-10,33.05003,TSA,cntl,vhds
2036-09-17,33.33765,TSA,cntl,vhds
2036-09-18,33.03336,TSA,cntl,vhds
2036-09-23,33.007114,TSA,cntl,vhds
2036-10-04,33.096687,TSA,cntl,vhds
2037-05-03,33.004013,TSA,cntl,vhds
2037-06-20,34.216022,TSA,cntl,vhds
2037-06-21,33.190235,TSA,cntl,vhds
2037-06-24,33.136097,TSA,cntl,vhds
2037-06-30,33.557392,TSA,cntl,vhds
2037-07-01,33.402798,TSA,cntl,vhds
2037-07-02,33.031662,TSA,cntl,vhds
2037-07-05,34.13909,TSA,cntl,vhds
2037-07-06,33.289845,TSA,cntl,vhds
2037-07-07,33.28884,TSA,cntl,vhds
2037-07-12,33.190113,TSA,cntl,vhds
2037-07-13,33.480904,TSA,cntl,vhds
2037-07-14,33.119873,TSA,cntl,vhds
2037-07-16,33.193962,TSA,cntl,vhds
2037-07-17,33.91757,TSA,cntl,vhds
2037-07-18,33.7059,TSA,cntl,vhds
