time,TSA,TSA_U,TSA_R
2035-03-30 01:00:00,17.979647,18.724562369281482,17.817324986046227
2035-03-30 02:00:00,19.763378,20.70508418114674,19.57026919360633
2035-03-30 03:00:00,21.558529,22.766845263703864,21.31450027049784
2035-03-30 04:00:00,23.050127,24.462779133604077,22.766597087340998
2035-03-30 05:00:00,24.147587,25.672991711842155,23.842452736108662
2035-03-30 06:00:00,24.871798,26.47003098574689,24.550103048725187
2035-03-30 07:00:00,25.093636,26.751883855427415,24.75235191674701
2035-03-30 08:00:00,24.49111,26.124389445404084,24.143342037148585
2035-03-30 09:00:00,23.529322,25.117935626920804,23.174096031216724
2035-03-30 10:00:00,22.309263,23.803102721693676,21.95431983973768
2035-03-30 11:00:00,20.992393,22.430631442632073,20.627870506187637
2035-03-30 12:00:00,20.234814,21.605818279692084,19.877651999146906
2035-03-30 13:00:00,19.603735,20.913985246910443,19.25785244099885
2035-03-30 14:00:00,18.889294,20.132281384276737,18.556575821861443
2035-03-30 15:00:00,18.197803,19.373677981464667,17.880344134008265
2035-03-30 16:00:00,17.558989,18.66089059383016,17.25965143493554
2035-03-30 17:00:00,16.964014,17.990887654638843,16.68278157240355
2035-03-30 18:00:00,16.404257,17.358817634930638,16.140430796777792
2035-03-30 19:00:00,16.089903,16.874200376814283,15.87120215429558
2035-03-30 20:00:00,15.79927,16.526379361315474,15.593438075639288
2035-03-30 21:00:00,15.527075,16.215472884047376,15.329035664389215
2035-03-30 22:00:00,15.257328,15.916013352675025,15.065692317256474
2035-03-30 23:00:00,15.306238,15.893635127062108,15.135962099733971
2035-03-31 00:00:00,16.272192,16.765105012529865,16.145751126803027
2035-03-31 01:00:00,17.278408,17.913955373597332,17.13683621839043
2035-03-31 02:00:00,18.859148,19.737116317095467,18.676019933243584
2035-03-31 03:00:00,20.309893,21.424217914312813,20.082966983675604
2035-03-31 04:00:00,21.476318,22.799198071042866,21.207629468162136
2035-03-31 05:00:00,22.303112,23.79368876701318,21.996736958008707
2035-03-31 06:00:00,22.725002,24.342975373945194,22.382217053352502
2035-03-31 07:00:00,22.763287,24.44936441757011,22.3901930160248
2035-03-31 08:00:00,22.404732,24.044547829190943,22.03125241290282
2035-03-31 09:00:00,21.730875,23.317298721794646,21.354181421066777
2035-03-31 10:00:00,20.887642,22.41004482068104,20.50748745030379
2035-03-31 11:00:00,20.201115,21.565229920175188,19.852951952975307
2035-03-31 12:00:00,19.659996,20.99656876702625,19.312403875810027
2035-03-31 13:00:00,19.229816,20.458786545371268,18.90490087445826
2035-03-31 14:00:00,18.662642,19.842412969850955,18.342722721006762
2035-03-31 15:00:00,18.045052,19.20066544606126,17.722848490922164
2035-03-31 16:00:00,17.471159,18.57313982514101,17.15561770966126
2035-03-31 17:00:00,16.954594,17.981098145312863,16.65348974885708
2035-03-31 18:00:00,16.549358,17.466048728860983,16.273833924724684
2035-03-31 19:00:00,16.719723,17.399748173323093,16.505728761686377
2035-03-31 20:00:00,16.5874,17.38369292222399,16.34783104465909
2035-03-31 21:00:00,16.157957,16.99937869554872,15.90141451437965
2035-03-31 22:00:00,15.709746,16.464129074341823,15.471240981451137
2035-03-31 23:00:00,15.963587,16.467388121939813,15.79489885583116
2035-04-01 00:00:00,18.051685,18.37080326033052,17.97625203035774
2035-04-01 01:00:00,19.463373,20.19364541035827,19.314153566879074
2035-04-01 02:00:00,21.04326,22.16138520952725,20.820528565237954
2035-04-01 03:00:00,22.433676,23.918199011988825,22.137837537596887
2035-04-01 04:00:00,23.494768,25.25754300531421,23.14226406498505
2035-04-01 05:00:00,24.22894,26.209095339594985,23.829494734144816
2035-04-01 06:00:00,24.627092,26.768253316962056,24.188601671018432
2035-04-01 07:00:00,24.61569,26.87488956331031,24.141692967240207
2035-04-01 08:00:00,24.016445,26.212489515449974,23.543580898966855
2035-04-01 09:00:00,23.043726,25.014747683638294,22.604285311221098
2035-04-01 10:00:00,21.793114,23.55081928511832,21.376231029042124
2035-04-01 11:00:00,20.293688,22.118280811771328,19.814994577217668
2035-04-01 12:00:00,19.753239,21.37713531872963,19.31517866753321
2035-04-01 13:00:00,19.493608,20.88295785155856,19.106949941324995
2035-04-01 14:00:00,19.288609,20.427344783361377,18.96173100403435
2035-04-01 15:00:00,19.1236,20.025056125206703,18.857204162622132
2035-04-01 16:00:00,18.99184,19.682194675456262,18.781183402049916
2035-04-01 17:00:00,18.870483,19.408380631892733,18.70019393138281
2035-04-01 18:00:00,18.76051,19.17532463248476,18.623133627199394
2035-04-01 19:00:00,18.605139,18.967163528999567,18.479475556179924
2035-04-01 20:00:00,18.553288,18.76162483820059,18.472165357036666
2035-04-01 21:00:00,18.376167,18.563704762406193,18.30205700938892
2035-04-01 22:00:00,18.189442,18.38452673665106,18.111938768713923
2035-04-01 23:00:00,18.508179,18.60333326393191,18.464332437703547
2035-04-02 00:00:00,19.712835,20.073134968733108,19.6313688769225
2035-04-02 01:00:00,20.673307,21.371439973582394,20.524248267278832
2035-04-02 02:00:00,22.112144,23.09129692401627,21.91041039204949
2035-04-02 03:00:00,23.466162,24.72809762310076,23.22113085938875
2035-04-02 04:00:00,24.399601,25.93256274190178,24.095440425795594
2035-04-02 05:00:00,24.86834,26.6752953876091,24.49830938517385
2035-04-02 06:00:00,25.024967,26.93958741547783,24.62538963175695
2035-04-02 07:00:00,24.872028,26.82640093605316,24.454674249103675
2035-04-02 08:00:00,24.262354,26.079054353134985,23.864604367925285
2035-04-02 09:00:00,23.581982,25.16636271460846,23.226628353931304
2035-04-02 10:00:00,22.739216,24.115115097190184,22.421391242597874
2035-04-02 11:00:00,21.899397,23.160965174721113,21.596198512981008
2035-04-02 12:00:00,21.55804,22.66845855736114,21.286743748382236
2035-04-02 13:00:00,21.35888,22.344363818328357,21.11377733811611
2035-04-02 14:00:00,21.152527,22.060224184321626,20.924087196977077
2035-04-02 15:00:00,20.951721,21.725186612794126,20.746161825589684
2035-04-02 16:00:00,20.818672,21.42447598237985,20.646714895009165
2035-04-02 17:00:00,20.696062,21.15356003014276,20.55918375572568
2035-04-02 18:00:00,20.581656,20.91323960800338,20.476270615060294
2035-04-02 19:00:00,20.455463,20.698460399890664,20.37178128748126
2035-04-02 20:00:00,20.197033,20.44452224943838,20.102797360538002
2035-04-02 21:00:00,19.909245,20.14618928236702,19.813690194368593
2035-04-02 22:00:00,19.63798,19.884571138541617,19.53523119761278
2035-04-02 23:00:00,20.09727,20.12437530682216,20.06846837377061
2035-04-03 00:00:00,21.576849,21.98128206257808,21.49625426382614
2035-04-03 01:00:00,22.755396,23.642806760586968,22.579908912001116
2035-04-03 02:00:00,24.023481,25.341520567469175,23.764051636123217
2035-04-03 03:00:00,25.036413,26.764096338965008,24.69360692114641
2035-04-03 04:00:00,25.733915,27.761400353236333,25.32919917146096
2035-04-03 05:00:00,26.11264,28.322382166729746,25.667408340203163
2035-04-03 06:00:00,26.167912,28.4494532392365,25.701760566592906
2035-04-03 07:00:00,25.893402,28.17859525383977,25.41558394424429
2035-04-03 08:00:00,25.316206,27.509778048439816,24.845175462920228
2035-04-03 09:00:00,24.460814,26.483370124703132,24.010888489575912
2035-04-03 10:00:00,23.424679,25.205275032756667,23.011777687430033
2035-04-03 11:00:00,22.280754,23.983606534542865,21.85237050085027
2035-04-03 12:00:00,21.820395,23.312124045114647,21.435763160520885
2035-04-03 13:00:00,21.543064,22.891802619259412,21.187983943305827
2035-04-03 14:00:00,21.372803,22.577747192102912,21.04984332085523
2035-04-03 15:00:00,21.250439,22.327441988024177,20.95643996755198
2035-04-03 16:00:00,21.151058,22.116745651894245,20.88126835839201
2035-04-03 17:00:00,21.069593,21.93877498025457,20.82058906727948
2035-04-03 18:00:00,20.994938,21.77573319531134,20.764494309771944
2035-04-03 19:00:00,20.957094,21.63708599504624,20.750099740145586
2035-04-03 20:00:00,20.900003,21.4873244469514,20.714026777775462
2035-04-03 21:00:00,20.849691,21.34554726332296,20.68473617527904
2035-04-03 22:00:00,20.80224,21.21396383095768,20.656612823899128
2035-04-03 23:00:00,21.336864,21.495342004676022,21.27194868253849
2035-04-04 00:00:00,23.012476,23.443161399306064,22.925128073588887
2035-04-04 01:00:00,24.565516,25.509380904489127,24.386077074918106
2035-04-04 02:00:00,25.786165,27.220856565053133,25.510681165629663
2035-04-04 03:00:00,26.668644,28.50282786472788,26.31255099080998
2035-04-04 04:00:00,27.291712,29.43180164501418,26.871721076755833
2035-04-04 05:00:00,27.641264,29.995299014783445,27.17291843647613
2035-04-04 06:00:00,27.705635,30.17479928033399,27.205949499266612
2035-04-04 07:00:00,27.492876,29.985969884910613,26.977230349754812
2035-04-04 08:00:00,27.026222,29.456403270678898,26.512147867664495
2035-04-04 09:00:00,26.218983,28.5315445332646,25.714431201881112
2035-04-04 10:00:00,24.993221,27.149061138352547,24.50070456961294
2035-04-04 11:00:00,23.118753,25.508864143665342,22.51069397687489
2035-04-04 12:00:00,22.323687,24.517128958379203,21.75164516572306
2035-04-04 13:00:00,21.84469,23.874851926782586,21.304596475945065
2035-04-04 14:00:00,21.530832,23.35515683647374,21.036031977941644
2035-04-04 15:00:00,21.328814,22.918035708097634,20.887887594261297
2035-04-04 16:00:00,21.199863,22.564046162979803,20.81244694862544
2035-04-04 17:00:00,21.130302,22.279296322691756,20.794476484658674
2035-04-04 18:00:00,21.097876,22.05383221141609,20.809021137048546
2035-04-04 19:00:00,21.096596,21.87261372023653,20.855084342240783
2035-04-04 20:00:00,21.03766,21.676529748193655,20.829168288572998
2035-04-04 21:00:00,21.008097,21.524521617291636,20.82764944180814
2035-04-04 22:00:00,21.00154,21.415451914905898,20.845722248969928
2035-04-04 23:00:00,21.799524,21.842308838875564,21.76661613651645
2035-04-05 00:00:00,23.762102,24.15836291955409,23.6878259925442
2035-04-05 01:00:00,25.392395,26.531503389252876,25.16893880623164
2035-04-05 02:00:00,26.790699,28.388901109913,26.48417295617619
2035-04-05 03:00:00,27.744728,29.744290757152477,27.357878091886544
2035-04-05 04:00:00,28.372677,30.68235620590394,27.919793272764448
2035-04-05 05:00:00,28.694817,31.212845665864133,28.193448085234092
2035-04-05 06:00:00,28.707727,31.343239011438563,28.172511445039003
2035-04-05 07:00:00,28.39897,31.0644936270047,27.843534880479453
2035-04-05 08:00:00,27.770975,30.377876584775603,27.21140813305177
2035-04-05 09:00:00,26.813398,29.286862928340284,26.26490319938269
2035-04-05 10:00:00,25.540249,27.82112711531487,25.01507837302896
2035-04-05 11:00:00,23.9588,26.26177917783485,23.379947038817313
2035-04-05 12:00:00,23.315784,25.3296711241071,22.798322815890895
2035-04-05 13:00:00,22.93355,24.744452367467986,22.460889580736723
2035-04-05 14:00:00,22.653301,24.288104934045442,22.22155044960896
2035-04-05 15:00:00,22.442142,23.900650938679636,22.051320986794675
2035-04-05 16:00:00,22.277075,23.55836868461607,21.928687640870404
2035-04-05 17:00:00,22.156197,23.263662224660493,21.849826788454862
2035-04-05 18:00:00,22.060122,23.006584069930913,21.792667629192
2035-04-05 19:00:00,21.987911,22.786538778854112,21.755510862280904
2035-04-05 20:00:00,21.943377,22.599000875911475,21.74476188757818
2035-04-05 21:00:00,21.923937,22.44731997491063,21.757223069527875
2035-04-05 22:00:00,21.916529,22.33022941189374,21.77686909276655
2035-04-05 23:00:00,22.595146,22.70513986394516,22.55433013733096
2035-04-06 00:00:00,24.10962,24.589845815371095,24.01137139658837
2035-04-06 01:00:00,25.48598,26.584830627485772,25.259578198940936
2035-04-06 02:00:00,26.817562,28.385661250821336,26.50650267833469
2035-04-06 03:00:00,27.812567,29.78377866701742,27.422233080135886
2035-04-06 04:00:00,28.42107,30.717738770445695,27.961145855278193
2035-04-06 05:00:00,28.701372,31.20748158369259,28.19283055438307
2035-04-06 06:00:00,28.650688,31.263603341185316,28.109939662788577
2035-04-06 07:00:00,28.301542,30.935176170570827,27.74327723940562
2035-04-06 08:00:00,27.702845,30.25778819691489,27.14762764220563
2035-04-06 09:00:00,26.798574,29.20539622014462,26.260166818641807
2035-04-06 10:00:00,25.641666,27.83506120476193,25.13431426361505
2035-04-06 11:00:00,24.187967,26.414253357068592,23.628379309551452
2035-04-06 12:00:00,23.614876,25.54769528438991,23.119471635917378
2035-04-06 13:00:00,23.31021,25.02725902900309,22.863668394052908
2035-04-06 14:00:00,22.992086,24.53102932526536,22.582509470275134
