time,TSA,TSA_U,TSA_R
2034-12-25 01:00:00,18.304716,17.254917580193933,18.57647467729648
2034-12-25 02:00:00,20.198042,20.072213867667998,20.278039336718457
2034-12-25 03:00:00,21.953493,22.39430833801109,21.925044094131565
2034-12-25 04:00:00,23.43271,24.341965470716982,23.307587769446336
2034-12-25 05:00:00,24.487804,25.725914887161352,24.28857562188096
2034-12-25 06:00:00,25.028753,26.45093021725534,24.781606881854806
2034-12-25 07:00:00,25.031422,26.625698831175743,24.736658538845568
2034-12-25 08:00:00,24.425512,26.141201429663685,24.08870095944106
2034-12-25 09:00:00,23.210695,24.83399708672391,22.865780058434538
2034-12-25 10:00:00,21.18798,23.22305621384219,20.66686397454489
2034-12-25 11:00:00,20.56981,22.07307929012187,20.166606127247313
2034-12-25 12:00:00,20.412447,21.329516725347204,20.159575518018524
2034-12-25 13:00:00,20.51044,20.906960443409613,20.410403467897577
2034-12-25 14:00:00,20.552418,20.696858655227537,20.513807474053298
2034-12-25 15:00:00,20.456966,20.51008519993809,20.439188389737684
2034-12-25 16:00:00,20.291443,20.316726146632863,20.27451850947753
2034-12-25 17:00:00,20.110344,20.11072307638477,20.09962492064978
2034-12-25 18:00:00,19.918756,19.89209236805106,19.919325232581873
2034-12-25 19:00:00,19.74096,19.67514056283924,19.75290705485829
2034-12-25 20:00:00,19.589018,19.45570715512422,19.61580970596534
2034-12-25 21:00:00,19.46623,19.264085047816078,19.50941127657237
2034-12-25 22:00:00,19.343626,19.082718502930586,19.398520295806964
2034-12-25 23:00:00,19.231075,18.90726879899814,19.299280282162243
2034-12-26 00:00:00,19.838932,19.45133238574914,19.941974130380302
2034-12-26 01:00:00,20.933113,21.230700151288126,20.89654131589174
2034-12-26 02:00:00,21.978292,22.64440630376196,21.873675843768755
2034-12-26 03:00:00,22.881157,23.834714365609106,22.72255429344153
2034-12-26 04:00:00,23.546698,24.712025611043018,23.346380844686493
2034-12-26 05:00:00,23.933937,25.232243830408045,23.703105458618897
2034-12-26 06:00:00,24.02747,25.395688150377627,23.774993123944874
2034-12-26 07:00:00,23.910175,25.31715368362478,23.63385518777497
2034-12-26 08:00:00,23.461853,24.859973058456717,23.17689261215028
2034-12-26 09:00:00,22.751505,24.032365029530393,22.4785521530672
2034-12-26 10:00:00,21.592566,22.9483449894503,21.253059032327172
2034-12-26 11:00:00,21.192293,22.241616743857684,20.916986143621283
2034-12-26 12:00:00,21.040403,21.777918894655727,20.84052418012298
2034-12-26 13:00:00,21.029924,21.491775163136474,20.89999510066909
2034-12-26 14:00:00,21.09251,21.331458351476474,21.028196645640413
2034-12-26 15:00:00,21.091434,21.231186790173254,21.051950345257925
2034-12-26 16:00:00,21.031136,21.158709113802583,20.992465589015985
2034-12-26 17:00:00,20.91395,21.04191806574086,20.871031566867526
2034-12-26 18:00:00,20.761066,20.875217148797013,20.706713854177046
2034-12-26 19:00:00,20.658052,20.697693161393513,20.619899455190257
2034-12-26 20:00:00,20.60203,20.553939654979846,20.588245527473358
2034-12-26 21:00:00,20.557262,20.450621017740623,20.564633999567906
2034-12-26 22:00:00,20.514933,20.333655777558008,20.54382838119303
2034-12-26 23:00:00,20.460566,20.239711172172733,20.494165201971434
2034-12-27 00:00:00,21.299618,20.880177668156545,21.41775019061024
2034-12-27 01:00:00,22.536804,22.81349342405176,22.513543424813168
2034-12-27 02:00:00,23.467001,24.218861700111166,23.348678145844644
