time,HUMIDEX_U,SWBGT_U,HIA_U
2034-12-25 06:00:00,31.688478827888996,26.572720233546193,27.27249779968974
2034-12-26 06:00:00,32.30712813780539,27.15850862075287,26.421195494336576
2034-12-27 06:00:00,31.658561248282872,26.69224813702677,26.330805982841145
2034-12-28 06:00:00,25.873610040935198,22.99554262679019,24.75731134681785
2034-12-29 06:00:00,16.057055440394322,16.93642981931146,16.327145086383226
2034-12-30 06:00:00,10.533449656351797,13.375360189197492,13.864221922892282
2034-12-31 06:00:00,6.656011166274482,11.104829678016724,10.495958818794248
2035-01-01 06:00:00,7.196371087129668,11.412718344698643,11.025602434955045
2035-01-02 06:00:00,10.693630614008741,13.501952064578024,13.767778173752387
2035-01-03 06:00:00,20.07545631413662,19.323860626708317,20.988895806286003
2035-01-04 06:00:00,24.362289009739783,21.939469560393686,24.914368093520906
2035-01-05 06:00:00,24.448164400297074,21.846258823027263,25.2126947088874
2035-01-06 06:00:00,22.011552643530496,20.469239983133956,24.555222874229557
2035-01-07 06:00:00,16.42783456738357,17.231687500639048,16.09696255584151
2035-01-08 06:00:00,15.64519250625505,16.52727499652396,17.1691534327619
2035-01-09 06:00:00,16.24142046563533,16.911165029665252,17.442595846424847
2035-01-10 06:00:00,24.72891150490197,22.153409919034484,25.09247878183898
2035-01-11 06:00:00,28.110017730530014,24.253178103991953,25.88668450713825
2035-01-12 06:00:00,29.221443800383415,24.885890972046408,26.541199710250538
2035-01-13 06:00:00,30.89580095972809,26.065727049588677,26.83519881986618
2035-01-14 06:00:00,32.822326068680205,27.211689573247682,28.25326180622031
2035-01-15 06:00:00,32.3287160532054,26.98548084421507,27.580491595164858
2035-01-16 06:00:00,32.70214577212818,27.320431455308093,27.30808434811013
2035-01-17 06:00:00,34.81913717559472,28.655119915601542,28.89217785048013
2035-01-18 06:00:00,34.02292390491757,28.101463952653067,28.52707600750547
2035-01-19 06:00:00,33.8683909379132,27.923061001821466,28.788636415541006
2035-01-20 06:00:00,27.695546217284363,24.039716010878454,25.63964936639019
2035-01-21 06:00:00,30.61271211707369,25.899162677530253,26.656450909349836
2035-01-22 06:00:00,34.95466873867326,28.621928666044003,29.555081367619714
2035-01-23 06:00:00,35.533225404211805,28.981402203096557,29.986663277482236
2035-01-24 06:00:00,36.017822804449786,29.28254452227678,30.436946822390354
2035-01-25 06:00:00,36.16187243157994,29.35776969889457,30.647976124803435
2035-01-26 06:00:00,35.300010668397796,28.974646270027144,29.10587388049274
2035-01-27 06:00:00,19.99660405158216,19.319921410566263,20.183869120062436
2035-01-28 06:00:00,13.331050208632515,15.05088517913801,16.0279143434216
2035-01-29 06:00:00,10.790988454994576,13.462724036061518,14.536657365799194
2035-01-30 06:00:00,10.16545394627611,13.274981765850395,12.721227455423104
2035-01-31 06:00:00,23.57634908968316,21.442495585040398,24.881738068868373
2035-02-01 06:00:00,14.626963723798596,16.323821634516083,13.48498928308802
2035-02-02 06:00:00,14.757527010683143,16.13535233651,15.487590819401335
2035-02-03 06:00:00,10.819013835362492,13.675460001160696,13.165364745668617
2035-02-04 06:00:00,10.523681545896121,13.447276491075472,13.301352699895475
2035-02-05 06:00:00,10.335716592516858,13.291069108285035,13.465978557501721
2035-02-06 06:00:00,16.091469600370267,16.801694256181484,17.504469854964796
2035-02-07 06:00:00,17.443093158178442,17.539550475772664,19.52890246508943
2035-02-08 06:00:00,17.795058571306168,17.58233202754715,22.394750709798018
2035-02-09 06:00:00,23.073833639691504,20.972073966159652,24.980267300476896
2035-02-10 06:00:00,21.3201487245314,19.80212843811951,24.60576036780315
2035-02-11 06:00:00,20.57788926288151,19.493801887622443,23.955322418725746
2035-02-12 06:00:00,23.19477976657768,21.124539609123676,24.956697266195366
2035-02-13 06:00:00,26.450587368963944,23.138718691189904,25.643188376754043
2035-02-14 06:00:00,29.472922786253715,24.99507925720612,26.805588028925833
2035-02-15 06:00:00,29.692006358900304,25.23064474295302,26.606438691383687
2035-02-16 06:00:00,30.325663531026485,25.98349129539597,23.985967590950917
2035-02-17 06:00:00,29.26912355715853,25.439206049759733,21.861962928326527
2035-02-18 06:00:00,29.627455867665073,25.694095810861754,21.508917739318086
2035-02-19 06:00:00,32.88769358942977,27.583367374398755,26.287210730740384
2035-02-20 06:00:00,31.263780311918023,26.13981455098763,27.618153958042782
2035-02-21 06:00:00,27.21106604996044,23.527032906729648,26.040212561993535
2035-02-22 06:00:00,24.632712516547482,21.90321509620709,25.34215390309851
2035-02-23 06:00:00,27.980449274998346,24.09756874744374,26.108234196435088
2035-02-24 06:00:00,31.3231308710409,26.253091033956746,27.35325530413455
2035-02-25 06:00:00,34.73286652840608,28.460981855659107,29.435008240336153
2035-02-26 06:00:00,31.115746234506577,26.004309573141093,27.657671680559574
2035-02-27 06:00:00,20.964080066588807,19.792780162568988,23.66198649355079
2035-02-28 06:00:00,22.32128215714059,20.696304039635915,24.20962114230667
2035-03-01 06:00:00,20.593883426015164,19.720747808262445,20.375090988296236
2035-03-02 06:00:00,16.765389160329686,17.138738237845935,18.918123919488227
2035-03-03 06:00:00,17.666734894294645,17.643242489177332,20.17613103312184
2035-03-04 06:00:00,22.056670959477522,20.28404506814416,24.813074252416676
2035-03-05 06:00:00,23.46092889641374,21.26332313944335,25.085596067145417
2035-03-06 06:00:00,23.56533404982277,21.406276477476027,25.013678255722912
2035-03-07 06:00:00,21.429682521360697,19.702601003273305,24.468229905294198
2035-03-08 06:00:00,24.140333726850223,21.41777876024157,25.470000353731933
2035-03-09 06:00:00,27.490627410042272,23.611239760463874,26.38493000916562
2035-03-10 06:00:00,30.249297439362138,25.53572539914475,26.99634873957659
2035-03-11 06:00:00,30.662119305408808,25.552155840959916,27.96051909880854
2035-03-12 06:00:00,32.31555145345016,26.557112961996914,29.029607939300636
