time,HUMIDEX_U,SWBGT_U,HIA_U
2035-03-30 06:00:00,28.143518102320364,24.062333172902814,26.50388277547719
2035-03-31 06:00:00,22.443146192964505,20.328528759554803,24.850908456490117
2035-04-01 06:00:00,25.56673144318588,22.19764379487287,26.229610361395245
2035-04-02 06:00:00,30.999124840211444,26.01646360327175,27.3583937634618
2035-04-03 06:00:00,33.99888149610166,27.926506396244896,29.156620049223278
2035-04-04 06:00:00,35.64289396647518,28.847242278418516,30.781769544317257
2035-04-05 06:00:00,37.473864789093795,29.978422129317448,32.41143722617548
2035-04-06 06:00:00,38.41590170866094,30.655999823896945,33.07895628564592
2035-04-07 06:00:00,41.10336423796167,32.355733688655846,35.86149783201132
2035-04-08 06:00:00,40.739573379819305,32.10852825599717,35.50273941091094
2035-04-09 06:00:00,41.542428128285366,32.861249026989526,35.84837932384746
2035-04-10 06:00:00,34.0747065039924,28.001709331224593,29.116573994330068
2035-04-11 06:00:00,34.48520225429982,28.347574429143044,29.070096016188707
2035-04-12 06:00:00,37.51097619239008,30.285742157253647,31.526213468849825
2035-04-13 06:00:00,40.106357907873296,31.894967335068554,34.41446122576362
2035-04-14 06:00:00,37.51711303943939,30.43109479183579,31.002859254974098
2035-04-15 06:00:00,38.26833070345041,30.77291723592271,32.413122950461904
2035-04-16 06:00:00,38.82540635394014,31.057796469063717,33.203207214610295
2035-04-17 06:00:00,40.18147468159159,31.889595170563034,34.72289411728125
2035-04-18 06:00:00,41.55081077362702,32.63760789819592,36.4455215402607
2035-04-19 06:00:00,40.46131401855106,32.2435243179703,34.47217189866921
2035-04-20 06:00:00,37.30209849702641,30.26383149698378,31.000272534921713
2035-04-21 06:00:00,34.55830853666585,28.737046409571526,26.53660811552582
2035-04-22 06:00:00,42.26461465653824,33.220484990786844,37.09015088543355
2035-04-23 06:00:00,40.80301565398224,32.0927543493826,35.73194385289726
2035-04-24 06:00:00,40.698396375113326,32.33417009914006,35.02921857390271
2035-04-25 06:00:00,42.880385071871906,33.687063686727015,37.73333814035563
2035-04-26 06:00:00,41.17902828032485,32.86906630337633,34.852845984007566
2035-04-27 06:00:00,41.58253143793902,33.10489116565309,35.44644956647621
2035-04-28 06:00:00,43.486519413139824,34.20187543995234,38.317434267500104
2035-04-29 06:00:00,42.66379576039781,33.740539566709884,37.10641686119851
2035-04-30 06:00:00,37.92663425751287,30.56449988926571,32.02265880002016
2035-05-01 06:00:00,42.392968588538935,33.3351038804827,37.178415979985864
2035-05-02 06:00:00,39.56406447537478,31.606499516011297,33.78327512882709
2035-05-03 06:00:00,43.112114448379685,33.81694275094573,38.06876278097141
2035-05-04 06:00:00,42.90570924194326,33.670342012915825,37.83418091894315
2035-05-05 06:00:00,40.9233757005677,32.45848867069186,35.354444089292215
2035-05-06 06:00:00,35.758621576196134,29.193819461432053,29.976439662501384
2035-05-07 06:00:00,33.50868076950408,27.287386745750865,29.793712036221795
2035-05-08 06:00:00,32.03689666366813,26.378478968137138,28.802719872354896
2035-05-09 06:00:00,33.43042825265616,27.236775896296788,29.769522422381666
2035-05-10 06:00:00,34.93868078707433,28.057369376343694,31.26761770718768
2035-05-11 06:00:00,34.66145063785689,27.720135787397155,31.67820271846939
2035-05-12 06:00:00,35.798105046717986,28.506376713158758,32.25699722861791
