time,FLDS,FSDS,PBOT,QBOT,RAIN,TBOT,WIND,ZBOT
2034-12-25 06:00:00,378.7793983421027,669.5173132504423,100528.54707021934,0.011381933586758814,0.0,297.23836764654055,2.3030674881230566,42.146875430023215
2034-12-25 12:00:00,375.4474663370625,0.0,100675.20589239623,0.013293597773830119,9.881607613190525e-07,294.30457138108954,2.2352607262905217,41.85588204431915
2034-12-25 18:00:00,388.64384412266156,0.0,100681.45592055982,0.013669132803087337,9.099660059059665e-06,293.24092204798774,3.014922546545182,41.73875436214688
2034-12-26 00:00:00,370.98065121847003,100.86106636188633,100892.97131921523,0.012670628498725689,4.900812859919721e-11,292.7115151192033,2.542111885570679,41.60049400176255
2034-12-26 06:00:00,392.480693016854,582.4855445275888,100661.77813598364,0.013449769220538423,2.165537089512953e-17,296.4019904578841,6.026741656707016,42.166072537886045
2034-12-26 12:00:00,386.27868911178035,0.0,100697.26787241397,0.014296257864417973,9.15933272015852e-06,294.7288043488325,2.065962303048919,41.98748823686908
2034-12-26 18:00:00,391.86571560813866,0.0,100728.32102387093,0.014808078237999619,4.6464638493666305e-06,294.47633245760807,1.8492818066635244,41.98512793130781
2034-12-27 00:00:00,379.65288130489404,102.57549731454928,100886.34205163295,0.014658294055790269,4.918711453392394e-08,294.18829361409604,1.727741134330161,41.93972860198655
2034-12-27 06:00:00,406.3979365909641,480.70371926130576,100689.92751466871,0.012544191307157214,1.7235697900376226e-05,296.87137989731644,5.618796069768257,42.17700253371103
2034-12-27 12:00:00,373.07996921624834,0.0,100839.09334221038,0.009539226959988012,5.690558563492633e-10,292.4864494603849,3.118906080015442,41.372987274122345
2034-12-27 18:00:00,340.8221520045001,0.0,100878.46833343772,0.008246539857077744,0.0,289.1591086777825,2.737552237609347,40.82405859875487
2034-12-28 00:00:00,338.28649194134493,107.0215806149883,101161.16134652418,0.00764342793992426,9.431942968872806e-30,287.63977509197366,3.035565603320465,40.57322673610208
2034-12-28 06:00:00,366.5529114710445,609.1603650633942,101027.5151254575,0.009208965803634188,1.9363899420838487e-14,293.6143581785953,5.233455811664078,41.51593091778118
2034-12-28 12:00:00,352.15327543896274,0.0,101193.51949034893,0.008262478976004855,4.413305306157897e-11,290.7262060233455,3.053712268592546,41.047822493729356
2034-12-28 18:00:00,337.2087197016579,0.0,101298.36832009867,0.006986777081954839,3.297005894818506e-10,287.33662761876843,3.282519576352323,40.48691298542846
2034-12-29 00:00:00,353.2465979807875,57.1043979009355,101519.0688934126,0.0054083608051894196,4.085609396175998e-07,284.1995808132453,4.8531342309141685,39.947509348212776
2034-12-29 06:00:00,345.7421714558574,519.2140744227763,101346.24420551636,0.005398049904313946,1.26101575121636e-07,287.8760790250503,9.79101172928548,40.462417099016896
2034-12-29 12:00:00,316.50262840895,0.0,101569.49225172416,0.003920868152243989,2.93560982507519e-09,284.12162681770633,4.473619368433418,39.8552990748368
2034-12-29 18:00:00,312.67394666337606,0.0,101611.56937539509,0.0033774604071663524,3.2488973170045593e-07,281.925936270733,3.879369490498747,39.52473418741538
2034-12-30 00:00:00,306.2642635990965,82.82802835185554,101875.91553621239,0.002361709560672563,5.912353815370874e-13,279.8929392430178,5.205279692999375,39.19822422787002
2034-12-30 06:00:00,277.7077813074773,713.8705618876473,101662.60683678728,0.0019017378824231373,0.0,285.22254109674657,10.998726915050144,39.94132307672617
2034-12-30 12:00:00,250.3593881895045,0.0,101888.99828020477,0.0017578491485215645,0.0,280.71866901446066,4.642737887419559,39.336826932781534
2034-12-30 18:00:00,226.28582884649202,0.0,101975.37939539262,0.0015453811538650994,0.0,276.1789371236026,4.454124874961266,38.702499305387555
2034-12-31 00:00:00,217.01236565640346,126.52090987572225,102142.25199584561,0.0013486149886249713,0.0,273.9747516918053,4.351189648582745,38.385943469253746
2034-12-31 06:00:00,232.9702494697115,758.6183657924362,101799.31776742556,0.0013730146736468142,0.0,281.601802877599,8.853334737972258,39.45005296199235
2034-12-31 12:00:00,229.22687951953515,0.0,101960.3891914144,0.0014933491336085046,0.0,278.64072086770784,3.9892003132663336,39.045101214713384
2034-12-31 18:00:00,215.3331996086014,0.0,102042.2217257033,0.001328387442171889,0.0,274.6793309749409,4.171138273650062,38.48484807120539
2035-01-01 00:00:00,206.75895914452636,128.2868216229992,102164.84391446858,0.0012999520210173628,0.0,273.40070153570866,3.9675970151291438,38.308094270923654
2035-01-01 06:00:00,228.36812396631115,768.6813619986048,101814.24106992989,0.0013810460090624534,0.0,282.1999618036494,8.689093915286973,39.53812164482635
2035-01-01 12:00:00,226.48713476817403,0.0,101897.1619297767,0.001676113879687759,0.0,279.2629127449486,3.5883794026070794,39.144743930682836
2035-01-01 18:00:00,218.25927897526356,0.0,101838.22408738472,0.0016780320047934877,0.0,275.73889660587673,3.7605534544313164,38.65053927468235
2035-01-02 00:00:00,218.76877983274431,125.11540293495973,102008.00766462943,0.0016873854909029843,0.0,274.78246952017764,3.290205484443254,38.5175780469831
2035-01-02 06:00:00,248.93372410488126,756.6856737866913,101718.19193741072,0.0021562332062541566,0.0,284.7425510389233,5.611645695785731,39.93277139377524
2035-01-02 12:00:00,246.7343575707455,0.0,101757.09066785379,0.0022982372716071372,0.0,282.38743530710053,2.5834641097286326,39.6120546782433
2035-01-02 18:00:00,245.58264212775168,0.0,101672.12500630147,0.0025502339223844204,0.0,279.9010089359282,3.0268301305439373,39.27206463743559
2035-01-03 00:00:00,263.3734788033024,115.25214241597779,101715.37488527215,0.003682274154139563,0.0,280.1783474257803,2.97854072713035,39.36410029137269
2035-01-03 06:00:00,303.28458733629793,722.3893960665027,101351.11869507733,0.006195715547270464,0.0,290.73403119909386,7.4483331709327265,40.991339669488895
2035-01-03 12:00:00,309.25404944309776,0.0,101360.5634650172,0.006713690233876696,2.1681786704709457e-37,289.26395556348825,2.2900451814061573,40.80496143681454
2035-01-03 18:00:00,304.85577594401127,0.0,101288.04399299536,0.006299229650412634,0.0,286.8327347981154,3.38973499440401,40.426305803953014
2035-01-04 00:00:00,303.3946510322949,108.70976826992722,101457.34485575158,0.006023995659385477,0.0,286.0329988154185,3.259699861692054,40.29686221227791
