time,FLDS,FSDS,PBOT,QBOT,RAIN,TBOT,WIND,ZBOT
2035-03-30 06:00:00,351.84865598295204,954.4575768666134,100749.52488966401,0.00782388213503119,0.0,296.26925396357626,7.668385660030579,41.80264168228879
2035-03-30 12:00:00,335.89483960591684,0.0,100908.71205414843,0.006878923748153665,0.0,293.99186955787707,5.7395617422077985,41.434832753522336
2035-03-30 18:00:00,319.5635846614806,0.0,100988.91601459852,0.006517329972486429,0.0,290.2477895479888,3.8171082955626603,40.88852073787289
2035-03-31 00:00:00,322.34029431701623,234.00636803595515,101401.07895742565,0.005664638173353944,0.0,288.9376613891253,6.857361887698465,40.66487285136433
2035-03-31 06:00:00,352.67368158368794,741.9627739116517,101076.06317436889,0.003927881788390117,0.0,294.4490610242966,7.395409213224935,41.31191160165271
2035-03-31 12:00:00,351.50446332636744,0.0,101225.89957849019,0.004258169059131373,0.0,293.49782592034643,4.203090308571479,41.19606863560733
2035-03-31 18:00:00,325.280669828497,0.0,101165.87711079807,0.0047473486192023025,0.0,290.770756066778,2.604919518539797,40.837720839427014
2035-04-01 00:00:00,313.867756991994,305.30899753811303,101415.80812731668,0.004657222161348155,0.0,290.5884080086426,4.580360587642155,40.816093233185555
2035-04-01 06:00:00,333.5661012668856,967.2594385293919,101085.92683103567,0.004775126514151242,0.0,296.1398278421712,5.542689606636415,41.602754562317116
2035-04-01 12:00:00,340.1127641985825,0.0,101226.06573139457,0.007870146412697005,0.0,293.6374875594101,3.9724886838165947,41.453565194320326
2035-04-01 18:00:00,346.4669339776532,0.0,101167.37558692068,0.00936988902894275,0.0,292.44411663752066,3.068685226083707,41.372835287416386
2035-04-02 00:00:00,368.1625715496265,220.95482952563674,101379.52591283801,0.009614668716497037,1.4402355049922523e-07,292.28592606992413,4.067616055316055,41.34793363971177
2035-04-02 06:00:00,392.3769181384856,762.2605976378102,101119.7035103761,0.010782387911739699,1.773657943653513e-12,296.72134687394424,7.597619268141192,42.03988115504897
2035-04-02 12:00:00,384.47349653024276,0.0,101110.86927770053,0.011648055312513747,1.4879813119622122e-08,294.9188560290343,5.01898181685252,41.847270885663825
2035-04-02 18:00:00,369.033061141044,0.0,101052.98244416389,0.012119846155930961,1.2403518141931827e-10,294.03958172604314,2.8171224076068406,41.75379481617675
2035-04-03 00:00:00,365.7746506222471,284.070238239199,101194.58822636104,0.012525293968613217,1.797338849299463e-17,294.1435452848822,4.529001869477644,41.797992642707804
2035-04-03 06:00:00,390.7890652147284,846.9958885834506,100913.67823808131,0.01250118274983925,5.659205992236863e-31,297.84774191575787,7.110451857866995,42.311849489752696
2035-04-03 12:00:00,380.6932229884899,0.0,100929.32479713736,0.01350064988897882,0.0,295.43261445250437,3.8672695960572234,42.04063629732018
2035-04-03 18:00:00,377.6677709564698,0.0,100850.05835477627,0.013875445563415531,0.0,294.8074151081492,2.613383485656577,41.97990936006755
2035-04-04 00:00:00,373.4600427655444,269.72488069720526,101011.83915745009,0.014129729168532928,0.0,295.7152237723062,3.662133608350384,42.122263505734516
2035-04-04 06:00:00,388.3224427338662,897.8524251670524,100727.38982573713,0.012446944644310835,0.0,299.4351019212054,6.374079142101083,42.526559361704614
2035-04-04 12:00:00,371.65320939332935,0.0,100731.303479911,0.013174394100345193,0.0,296.50188346683825,2.9143928310004736,42.16599222034643
